color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
980,23,255,222,90.60024614,-35.71706838,0.160265809
981,0,255,235,90.60169263,-35.6068307,-3.587736527
982,36,36,122,23.42067544,8.16330417,-29.49742201
983,61,27,115,23.90021726,17.02256948,-25.72991615
984,75,18,108,24.2474575,23.35582349,-22.03081073
985,83,9,103,24.45659166,27.24788499,-19.13250233
986,90,0,97,24.61669099,30.25871891,-16.65112966
987,95,0,91,24.75479765,32.98688211,-14.12600967
988,176,45,86,46.01508033,38.47739659,4.294439081
989,178,45,74,45.97919195,38.13904557,7.893804842
990,178,47,57,45.88598497,36.87988679,12.47554158
991,177,50,43,45.7774127,35.20270095,16.33249223
992,174,56,17,45.55919098,31.52788751,21.61385432
993,0,98,178,43.21494423,-7.677274323,-31.67008235
994,72,90,177,43.93283485,4.303610975,-30.92069542
995,101,82,172,44.4828258,13.80505104,-27.81917768
996,120,76,164,44.88394636,20.58588924,-23.81003605
997,131,71,156,45.13550553,24.71158082,-20.37674199
998,142,66,148,45.39160105,28.67971398,-16.47879768
999,152,60,138,45.60954459,31.92442815,-12.67548317
1000,161,55,126,45.79971375,34.76848378,-8.359276071
1001,168,50,111,45.93284254,36.89815514,-3.468356632
1002,173,47,99,45.98359655,37.85283438,0.495225107
1003,234,107,132,66.83587899,34.4990193,5.656134816
1004,237,106,119,66.82962919,34.14173986,9.113538266
1005,238,107,105,66.78958169,33.26831648,12.55352625
1006,238,109,88,66.68891832,31.38358157,16.72822234
1007,235,112,66,66.50973361,28.10547432,21.64399085
1008,229,118,46,66.25513066,23.63877708,25.53866501
1009,221,124,21,65.93209431,17.95594747,28.99716794
1010,211,130,0,65.62283227,12.44749642,31.75075797
1011,90,168,0,63.11399764,-28.47432873,29.60936406
1012,47,171,52,62.84157187,-32.37836517,23.56483908
1013,0,156,234,63.88890815,-14.19486566,-30.95240909
1014,72,152,235,64.26551978,-8.001947043,-31.72670546
1015,121,143,233,64.88731837,3.151710505,-30.94698935
1016,148,137,228,65.34564382,11.62859522,-28.21357068
1017,168,131,220,65.72025174,18.32556675,-24.38999644
1018,181,126,212,65.97072478,22.5952541,-20.74603792
1019,197,121,200,66.27979375,27.36467164,-15.76585479
1020,208,117,189,66.47756117,30.21182649,-11.56169318
1021,217,113,175,66.64166782,32.42248103,-7.073896173
1022,226,110,158,66.76008847,33.88962404,-1.771290071
1023,230,108,145,66.81042979,34.39682505,1.869919398
1024,255,189,41,84.24589543,6.477061906,33.56401932
1025,250,194,14,83.95712556,1.267423075,35.37576756
1026,236,200,0,83.61611398,-4.752699258,36.8794428
1027,179,217,3,82.58912286,-21.58621287,34.68530129
1028,146,223,64,82.20554763,-27.57009859,29.83755666
1029,110,227,99,81.92941467,-31.93976238,23.91666838
1030,55,230,134,81.71299984,-35.447068,16.45534371
1031,0,231,160,81.61152727,-37.16067114,9.890640549
1032,255,172,255,85.18265073,27.825461,-15.61582043
1033,31,0,101,14.94690438,13.8856738,-28.01928205
1034,49,58,163,33.45842153,7.229791563,-33.15548385
1035,83,48,156,34.10159713,17.59912264,-29.20135079
1036,103,38,147,34.56225674,24.93371582,-24.94849732
1037,114,29,140,34.85408543,29.51472021,-21.58058192
1038,124,16,133,35.1204678,33.60605725,-18.2638113
1039,133,0,124,35.33527715,37.06513521,-14.94423694
1040,217,64,107,57.00798477,40.60774701,5.351640643
1041,219,64,92,56.98145367,40.32752108,9.225422988
1042,220,65,74,56.90304977,39.25155871,13.81537301
1043,219,68,53,56.77513458,37.311031,18.54977958
1044,214,76,18,56.47535565,32.49249901,24.70532791
1045,0,125,220,53.80545591,-9.331264698,-34.33990603
1046,90,115,218,54.64646199,3.929576105,-33.65902392
1047,125,106,212,55.25650258,14.06409923,-30.32754322
1048,148,99,202,55.71117489,21.50631231,-25.88050079
1049,162,93,193,56.00923822,26.13818122,-22.15488474
1050,177,86,182,56.34319912,30.98816623,-17.41987535
1051,189,80,170,56.59270202,34.46854976,-13.10141592
1052,199,74,156,56.80788229,37.41971401,-8.463233987
1053,209,68,136,56.95313932,39.57302468,-2.748305867
1054,213,65,122,56.99974127,40.35863263,1.255861109
1055,255,147,0,75.77259035,18.57661891,32.36722381
1056,52,202,56,72.39213,-34.97279811,25.98263063
1057,214,148,253,75.90066417,24.77971113,-23.19899668
1058,234,140,237,76.26737698,30.37327268,-17.04776067
1059,247,136,222,76.47386714,33.31320045,-12.38812015
1060,255,131,206,76.66158234,35.77584617,-7.375340181
1061,161,254,46,90.75108864,-30.26233163,33.47070815
1062,112,255,99,90.41274563,-35.34829001,26.78990764
1063,41,22,141,23.77241577,11.71014902,-32.52289894
1064,68,3,133,24.34758298,21.26077914,-28.34593546
1065,197,0,85,46.70064275,47.02017516,4.319078644
1066,199,0,45,46.53369209,46.12902315,14.36779338
1067,197,0,22,46.34043169,43.67760795,19.31157214
1068,64,84,202,44.09746772,5.870810165,-35.53871482
1069,106,73,193,44.83443088,17.15433378,-31.50956389
1070,129,63,183,45.35285008,25.01955522,-26.8850214
1071,144,55,175,45.70997963,30.15681402,-23.16332195
1072,157,45,164,46.02890157,34.76281209,-18.92254214
1073,167,36,151,46.24731724,38.18856399,-14.6171021
1074,178,21,136,46.46373734,41.60521349,-9.798154667
1075,187,0,118,46.61794347,44.43450114,-4.438916099
1076,193,0,102,46.69589381,46.18492425,-0.049221504
1077,255,81,128,67.57063131,43.08541105,6.357465868
1078,255,81,111,67.5279574,42.57604915,10.38539522
1079,255,84,91,67.42959293,41.2342417,14.92337524
1080,255,88,64,67.25661379,38.63568906,20.58452916
1081,255,97,20,66.93172387,33.45996592,27.22792238
1082,149,129,255,65.64174543,14.58531394,-33.518287
1083,178,120,244,66.16407232,23.01054669,-28.22022579
1084,194,115,233,66.46593682,27.70904846,-24.11781918
1085,213,107,217,66.84469884,33.15235316,-18.40860007
1086,226,100,203,67.1085757,36.72613566,-13.70807339
1087,238,93,185,67.33142146,39.70072898,-8.509137784
1088,248,87,163,67.46963774,41.67234048,-2.492145401
1089,255,83,147,67.55443186,42.79263471,1.669649832
1090,49,233,55,81.3903328,-37.66345273,28.32899338
1091,51,48,186,33.77740903,10.11652036,-36.32590092
1092,91,32,175,34.5405482,21.31041334,-31.73882895
1093,112,7,165,35.0787607,29.21953513,-27.14598131
1094,239,2,105,57.7119955,48.69683105,5.580081472
1095,242,0,86,57.67597352,48.74628212,9.963536026
1096,243,7,60,57.5529958,47.65432155,15.70193934
1097,239,31,29,57.31549843,44.683725,21.59857354
1098,77,109,247,54.76636143,4.850308983,-38.40153836
1099,128,98,235,55.55983636,16.73324276,-33.97366331
1100,157,88,222,56.144637,25.43723347,-28.79079267
1101,174,79,212,56.52592114,30.79446493,-24.74997
1102,192,68,198,56.93620723,36.32871633,-19.66920784
1103,205,57,183,57.22814808,40.33475295,-14.89323826
1104,217,44,165,57.46391392,43.73271041,-9.722323058
1105,229,28,142,57.64022053,46.63814584,-3.484557678
1106,234,17,124,57.69218758,47.85498672,0.831911001
1107,252,124,255,76.85161787,36.04058376,-19.57033229
1108,47,0,160,24.18872778,15.20209566,-34.60465508
1109,60,75,229,44.37793333,8.247607165,-39.27357007
1110,112,60,216,45.25622187,20.51503807,-34.3914605
1111,139,44,204,45.88196552,29.20825597,-29.28743456
1112,155,27,193,46.27513959,34.66125644,-25.17288514
1113,171,0,180,46.65498601,39.87218241,-20.73535319
1114,207,100,254,66.99240605,32.22427169,-26.75623792
1115,230,86,236,67.47704427,38.61620062,-20.63461745
1116,244,76,218,67.76152091,42.49340658,-15.49693849
1117,255,63,196,68.01767714,46.01686632,-9.792024713
1118,55,32,206,34.14104988,12.90907184,-38.54499499
1119,99,0,194,35.01855977,24.75822693,-33.61216645
1120,134,86,255,55.95698195,19.86211405,-36.86463995
1121,167,71,244,56.64655498,29.2834695,-31.25934499
1122,186,58,231,57.08131374,35.10376486,-26.74997852
1123,207,33,215,57.56931584,41.27669426,-21.46802528
1124,222,0,197,57.86856313,45.57920726,-16.30129959
1125,62,64,250,44.68190015,10.55544877,-41.54938929
1126,119,43,234,45.65747817,23.34187286,-36.21095555
1127,149,3,220,46.36506143,32.56715196,-30.83367336
1128,246,53,254,68.12154167,43.45134483,-22.37845579
1129,255,30,232,68.40484014,47.53329638,-16.91120325
1130,61,0,225,34.55112035,15.60645456,-40.28592057
1131,199,9,250,57.66089108,39.05464126,-28.33737486
1132,127,0,255,46.15406628,26.40612622,-37.89681083
